据点ID,区分,受注日期,客户希望纳期,销售GPR内外,英文顾客,顧客業種C,规格型号,产品名称,注残数量,货币,不含税价格,成本金额,中分类C,供应商名称,供应商集团内外,终端用户英文,终端用户行业C,ID
MPSH,2,20211228,20220110,OUT,MISUMI,8000,121426000,SFC-050DA2-15B-19B,1,RMB,225.64,,2301,MPTJ,OUT,米思米,8020,741
MPSH,2,20211228,20220104,OUT,MISUMI,8000,121851600,SFC-050SA2-16B-16B,4,RMB,168.38,,2301,MPTJ,OUT,米思米,8020,742
MPSH,2,20211228,20220105,OUT,MISUMI,8000,121822200,SFC-060DA2-20B-24B,2,RMB,303.42,,2301,MPTJ,OUT,米思米,8020,743
MPSH,2,20211228,20220105,OUT,MISUMI,8000,121851600,SFC-050SA2-16B-16B,2,RMB,168.38,,2301,MPTJ,OUT,米思米,8020,744
MPSH,2,20211228,20220110,OUT,MISUMI,8000,121851600,SFC-050SA2-16B-16B,2,RMB,168.38,,2301,MPTJ,OUT,米思米,8020,745
MPSH,2,20211228,20220111,OUT,MISUMI,8000,121851600,SFC-050SA2-16B-16B,4,RMB,168.38,,2301,MPTJ,OUT,米思米,8020,746
MPSH,2,20211228,20220126,OUT,MISUMI,8000,121851600,SFC-050SA2-16B-16B,1,RMB,168.38,,2301,MPTJ,OUT,米思米,8020,747
MPSH,2,20211228,20220130,OUT,YAMAZEN-SH,8000,104694500,SFS-10S-35M-35M,1,RMB,919,,2302,MPJP,IN,上海恩梯恩,9004,748
MPSH,2,20211228,20220108,OUT,STAR PRECISION,1000,,SFC-050SA2-T092,140,RMB,148,,2301,MPTJ,OUT,斯大精密,1090,749
MPSH,2,20211228,20220107,OUT,ZHENGYI BEARING,8000,121733000,SFC-060DA2-20B-25B,20,RMB,285,,2301,MPTJ,OUT,利元亨,1290,750
MPSH,2,20211228,20220104,OUT,BITPASS,8000,121585600,SFC-020SA2-6B-8B,20,RMB,41,,2301,MPTJ,OUT,苏州迈为,1190,751
MPSH,2,20211228,20220104,OUT,BITPASS,8000,121851600,SFC-050SA2-16B-16B,1,RMB,75,,2301,MPTJ,OUT,昆山杰士德,1190,752
MPSH,2,20211228,20220106,OUT,FTS-SHENZHENG,8000,122029900,SFC-050DA2-17B-24B,3,RMB,191,,2301,MPTJ,OUT,深圳易天,1190,753
MPSH,2,20211228,20220106,OUT,FTS-SHENZHENG,8000,121605000,SFC-040DA2-12B-16B,4,RMB,136,,2301,MPTJ,OUT,深圳易天,1190,754
MPSH,2,20211228,20220223,OUT,FTS-SHENZHENG,8000,123412100,ETP-A-20,2,RMB,297,,2601,MPJP,IN,东莞喜万理,1590,755
MPSH,2,20211228,20211228,OUT,BITPASS,8000,121461700,SFC-040SA2-14B-14B,300,RMB,53,,2301,MPTJ,OUT,苏州赛腾,1590,756
MPSH,2,20211228,20220106,OUT,BITPASS,8000,,SFF-100SS-35K-38K,2,RMB,442,,2302,MPTJ,OUT,上海阔钧,9099,757
MPSH,2,20211228,20220114,OUT,BITPASS,8000,121733000,SFC-060DA2-20B-25B,1,RMB,159,,2301,MPTJ,OUT,上海联泰,1190,758
MPSH,2,20211228,20220107,OUT,BITPASS,8000,,ALS-095ARN-35BHA-40BHA,1,RMB,318,,2202,MPTJ,OUT,上海东富龙,1820,759
MPSH,2,20211228,20211122,OUT,BITPASS,8000,,BXR-025-10LE-A-24,500,RMB,225,,1201,MPJP,IN,江苏灵猴,1290,760
MPSH,2,20211228,20220105,OUT,BITPASS,8000,121822200,SFC-060DA2-20B-24B,3,RMB,159,,2301,MPTJ,OUT,杭州长川,1510,761
MPSH,2,20211228,20220220,OUT,SANYING,8000,033070700,SD-38B-9R,10,RMB,412,,3107,MPJP,IN,三英智能,1090,762
MPSH,2,20211228,20220105,OUT,TIANJIN AOXIANG,8000,,SFC-050SA2-15B-19K,5,RMB,167,,2301,MPTJ,OUT,天津七所高科技,1910,763
MPSH,2,20211228,20220310,OUT,TIANJIN AOXIANG,8000,103191300,102-05-13 24V 15DIN,30,RMB,241,,1101,MPJP,IN,北京大学,1410,764
MPSH,2,20211228,20220121,OUT,SG GEAR MOTOR,0100,126953000,BXL-12-10N-05,12,RMB,333,,1401,MPTJ,OUT,史克马,0140,765
MPSH,2,20211228,20220401,OUT,TSUGAMI,1000,121859100,SFC-050DA2-14B-15B,2,RMB,252,,2301,MPTJ,OUT,津上精密,1090,766
MPSH,2,20211228,20211231,OUT,TIANRUICHENG,8000,676177,546.25.4.5（676177）,2,RMB,16500,,1501,其他,OUT,海螺集团,9090,767
MPSH,2,20211228,20211201,OUT,BITPASS,8000,104298100,CF-X-008-O0,50,RMB,130,,2101,MPJP,IN,无锡洋马,9099,768
MPSH,2,20211228,20220211,OUT,BITPASS,8000,125279300,BEH-20G,1,RMB,2610,,1901,MPJP,IN,江苏天鹏,9099,769
MPSH,2,20211228,20220225,OUT,BITPASS,8000,103574000,546-32-34-NS 24V 70DIN,1,RMB,12353,,1501,MPJP,IN,重庆力研,9099,770
MPSH,2,20211228,20220214,OUT,BITPASS,8000,122167000,SFF-080SS-25K-25K,1,RMB,357,,2302,MPTJ,OUT,苏州兴力达,9099,771
MPSH,2,20211228,20220331,OUT,BITPASS,8000,104298100,CF-X-008-O0,150,RMB,130,,2101,MPJP,IN,无锡洋马,9099,772
MPSH,2,20211228,20220120,OUT,BITPASS,8000,122167000,SFF-080SS-25K-25K,2,RMB,357,,2302,MPTJ,OUT,上海仕泽,9004,773
MPSH,2,20211228,20220104,OUT,BITPASS,8000,,ALS-065ARN-19BHA-22BHA,3,RMB,143,,2202,MPTJ,OUT,上海朗岱,1820,774
MPSH,2,20211228,20220118,OUT,BITPASS,8000,,SFF-100DS-38KK-42KK,1,RMB,558,,2302,MPTJ,OUT,四川志方,1510,775
MPSH,2,20211228,20220307,OUT,TSUGAMI,1000,130258800,SFM-070DS-T001N,7,RMB,1595,,2302,MPJP,IN,津上精密,1090,776
MPSH,2,20211228,20211223,OUT,LEINIER,0100,,ALS-065ARN-22BHA-24BHA,2,RMB,157,,2202,MPTJ,OUT,东莞巨高,1090,777
