据点ID,区分,出货日期,客户希望纳期,销售GPR内外,英文顾客,顧客業種C,规格型号,产品名称,数量,货币,不含税价格,成本金额,中分类C,供应商名称,供应商集团内外,终端用户英文,终端用户行业C,ID
MPSH,3,20220105,20220104,OUT,BITPASS,8000,,SFC-050DA2-15BH-24KH,1,RMB,441,,2301,MPTJ,OUT,江苏亚威,1090,85
MPSH,3,20220105,20220104,OUT,SUNWA,8000,121758400,SFC-050SA2-17B-24B,10,RMB,204,,2301,MPTJ,OUT,苏州松下,1730,86
MPSH,3,20220105,20220104,OUT,BITPASS,8000,125619200,SFC-025SA2-8B-8B,40,RMB,41,,2301,MPTJ,OUT,苏州迈为,1190,87
MPSH,3,20220105,20220108,OUT,ANSEN,8000,,125-08-12N,30,RMB,799,,1302,MPTJ,OUT,宿州恒元,1810,88
MPSH,3,20220105,20220104,OUT,ANSEN,8000,,101-10-13N 24V 25JIS,8,RMB,180,,1301,MPTJ,OUT,,,89
MPSH,3,20220105,20220104,OUT,ANSEN,8000,,111-10-12N 24V 25JIS,8,RMB,181,,1301,MPTJ,OUT,,,90
MPSH,3,20220105,20220103,OUT,BITPASS,8000,,SFC-040SA2-17B-22B,16,RMB,53,,2301,MPTJ,OUT,昆山杰士德,1190,91
MPSH,3,20220105,20220104,OUT,BITPASS,8000,121808800,SFC-010DA2-5B-6B,2,RMB,60,,2301,MPTJ,OUT,苏州迈为,1190,92
MPSH,3,20220105,20220104,OUT,BITPASS,8000,121851600,SFC-050SA2-16B-16B,1,RMB,75,,2301,MPTJ,OUT,昆山杰士德,1190,93
MPSH,3,20220105,20220104,OUT,BITPASS,8000,,ALS-065ARN-19BHA-22BHA,3,RMB,143,,2202,MPTJ,OUT,上海朗岱,1820,94
MPSH,3,20220105,20220104,OUT,BITPASS,8000,,ALS-040ARN-14BHA-14BHA,6,RMB,45,,2202,MPTJ,OUT,苏州迈为,1190,95
MPSH,3,20220105,20220108,OUT,ANSEN,8000,121431600,SFC-010SA2-6B-6B,2,RMB,82,,2301,MPTJ,OUT,,,96
MPSH,3,20220105,20220104,OUT,RUJIANG-SHENZHENG,8000,122027600,SFC-060SA2-17B-24B,1,RMB,135,,2301,MPTJ,OUT,深圳轴心,1190,97
MPSH,3,20220105,20220104,OUT,BITPASS,8000,121845600,SFC-040SA2-10B-19B,1,RMB,53,,2301,MPTJ,OUT,上海联泰,1190,98
MPSH,3,20220105,20220104,OUT,BITPASS,8000,121875800,SFC-060DA2-18B-20B,4,RMB,159,,2301,MPTJ,OUT,上海联泰,1190,99
MPSH,3,20220105,20220104,OUT,YONGFUWANG-SHENZHENG,8000,121461600,SFC-030SA2-10B-14B,10,RMB,112,,2301,MPTJ,OUT,裕尚,9099,100
MPSH,3,20220105,20220104,OUT,YONGFUWANG-SHENZHENG,8000,122014200,SFC-020SA2-6.35B-10B,10,RMB,98,,2301,MPTJ,OUT,捷控,1410,101
